Class	Method	English Term	Translated Term	Translated Term	Remarks	Example URL
URL_Email_Helper	Send_Email	Search results from %1			"Used as the subject line of that email. ""Search results from dLOC"""	
URL_Email_Helper	Send_Email	Page from %1			"Used as the subject line of that email.  ""Page from dLOC"""	
URL_Email_Helper		"%1,%2 from %3"				
URL_Email_Helper		%1 wanted you to see this %2 on %3 and included the following comments				
URL_Email_Helper		%1 wanted you to see this on %2				
URL_Email_Helper		Title: %1				
						
Item_Email_Helper	Send_Email	%1 wanted you to see this item on %2.			"%1=username, %2=SobekCM instance abbreviation (like UFDC, dLOC). When someone emails an item from the system"	
Item_Email_Helper	Send_Email	%1 wanted you to see this item on %2 and included the following comments.			"%1=username, %2=SobekCM instance abbreviation (like UFDC, dLOC). When someone emails an item from the system"	
Item_Email_Helper	Send_Email	ITEM INFORMATION				
Item_Email_Helper		BLOCKED THUMBNAIL IMAGE				
Item_Email_Helper		Uniform Title: %1				
Item_Email_Helper		Alternate Title: %1				
Item_Email_Helper		Translated Title: %1				
Item_Email_Helper		Abbreviated Title: %1				
Item_Email_Helper		Creator: %1				
Item_Email_Helper		Publisher: %1				
Item_Email_Helper		Date: %1				
Item_Email_Helper		Description: %1				
Item_Email_Helper		Subject: %1				
Item_Email_Helper		Genre: %1				
Item_Email_Helper		Spatial Coverage: %1				
Item_Email_Helper		Rights: %1				
Item_Email_Helper		Series Title: %1				
						
Usage_Stats_Email_Helper	Send_Individual_Usage_Email	Usage statistics for your materials ( %1 )			"%1 = Date (i.e., ""February 2012""), Subject of the email when emailing mothly usage reports."	
Usage_Stats_Email_Helper	Send_Individual_Usage_Email	Below are the details for your top 10 items.  See the link below to view usage statistics for all %1 of your items.			%1 = total number of items submitted by this person/institution	
Usage_Stats_Email_Helper	Send_Individual_Usage_Email	%1 views			%1 = number of views that month	
Usage_Stats_Email_Helper	Send_Individual_Usage_Email	Total to date ( since %1 )			%1=date added to repository.  Label for the total number of views since the item was added to the repository.	
Usage_Stats_Email_Helper		"You are receiving this message because you are a contributor to a digital library or a collection supported by the UF Libraries, including the Institutional Repository (IR@UF), the UF Digital Collections (UFDC), the Digital Library of the Caribbean (dLOC), and many others. If you do not wish to receive future messages, please <a href=\""http://ufdc.ufl.edu/my/preferences\"">edit your account preferences</a> online or send an email to <a href=\""mailto:ufdc@uflib.ufl.edu\"">ufdc@uflib.ufl.edu</a>. </p>"" + ""<p><strong>Usage statistics for your materials ( <%DATE%> )</strong></p>"" + ""<p><%NAME%>,</p>"" + ""<p>Thank you for sharing materials that will be accessible online and for supporting worldwide open access to scholarly, creative, and other works.  This is a usage report for the shared materials.</p>"" + ""<p>Your items have been viewed <%TOTAL%> times since they were added and were viewed <%MONTHLY%> times this month</p>"" + ""<%ITEMS%>"" + ""<p><em><a href=\""http://ufdc.ufl.edu/my/stats/<%YEAR%><%MONTH%>d\"">Click here to see the usage statistics for all of your items. &gt;&gt;</a></em></p>"" + ""<p>Thank you for sharing these materials.  Please contact us with any questions ( <a href=\""mailto:ufdc@uflib.ufl.edu\"">ufdc@uflib.ufl.edu</a> or 352-273-2900)."				
						
Aggregation_HtmlSubwriter		Aggregation_HtmlSubwriter				
Aggregation_HtmlSubwriter		Removed aggregation from your home page				
Aggregation_HtmlSubwriter		Your email has been sent				
Aggregation_HtmlSubwriter	Add_Internal_Header_HTML	Hide Internal Header			"Used in the internal header, when an internal user is logged on"	
Aggregation_HtmlSubwriter	Add_Internal_Header_HTML	View Private Items			"Used in the internal header, when an internal user is logged on"	
Aggregation_HtmlSubwriter	Add_Internal_Header_HTML	View Item Count			"Used in the internal header, when an internal user is logged on"	
Aggregation_HtmlSubwriter	Add_Internal_Header_HTML	View Usage Statistics			"Used in the internal header, when an internal user is logged on"	
Aggregation_HtmlSubwriter	Add_Internal_Header_HTML	Edit Administrative Information			"Used in the internal header, when an internal user is logged on"	
Aggregation_HtmlSubwriter	Add_Internal_Header_HTML	View Administrative Information			"Used in the internal header, when an internal user is logged on"	
Aggregation_HtmlSubwriter	Add_Internal_Header_HTML	Help regarding this header			"Used in the internal header, when an internal user is logged on"	
Aggregation_HtmlSubwriter	Add_Internal_Header_HTML	Perform search			"Used in the internal header, when an internal user is logged on"	
Aggregation_HtmlSubwriter	Add_Internal_Header_HTML	Show Internal Header			"Used in the internal header, when an internal user is logged on"	
Aggregation_HtmlSubwriter		Close				
Aggregation_HtmlSubwriter	Write_HTML	Send this collection to a friend			Used when a user chooses to send an email from the collection home page	
Aggregation_HtmlSubwriter	Write_HTML	Enter the email information below			Prompt for emailing	
Aggregation_HtmlSubwriter	Write_HTML	To:			Where user enters the email address(es) to send to	
Aggregation_HtmlSubwriter	Write_HTML	Comments:			Prompt for user comments	
Aggregation_HtmlSubwriter	Write_HTML	Format:			Prompt for whether to send HTML or Plain text email	
Aggregation_HtmlSubwriter	Write_HTML	HTML				
Aggregation_HtmlSubwriter	Write_HTML	Plain text				
Aggregation_HtmlSubwriter	Write_HTML	Send			Button name for sending the email	
Aggregation_HtmlSubwriter		Cancel				
Aggregation_HtmlSubwriter	Write_HTML	Show Collection Groups			Part of deprecated code for the old menu	
Aggregation_HtmlSubwriter	Write_HTML	Show Collections			Part of deprecated code for the old menu	
Aggregation_HtmlSubwriter	Write_HTML	Show SubCollections			Part of deprecated code for the old menu	
Aggregation_HtmlSubwriter	Write_HTML	Hide Collection Groups			Part of deprecated code for the old menu	
Aggregation_HtmlSubwriter	Write_HTML	Hide Collections			Part of deprecated code for the old menu	
Aggregation_HtmlSubwriter	Write_HTML	Hide SubCollections			Part of deprecated code for the old menu	
Aggregation_HtmlSubwriter	Write_HTML	Select collection groups to include in search			Part of deprecated code for the old menu	
Aggregation_HtmlSubwriter	Write_HTML	Select collections to include in search			Part of deprecated code for the old menu	
Aggregation_HtmlSubwriter	Write_HTML	Select subcollections to include in search			Part of deprecated code for the old menu	
Aggregation_HtmlSubwriter		Print this page				
Aggregation_HtmlSubwriter		Send this to someone				
Aggregation_HtmlSubwriter		PRINT				
Aggregation_HtmlSubwriter		SEND				
Aggregation_HtmlSubwriter		Remove this from my collections home page				
Aggregation_HtmlSubwriter		REMOVE				
Aggregation_HtmlSubwriter		Add this to my collections home page				
Aggregation_HtmlSubwriter		ADD				
Aggregation_HtmlSubwriter		Save this to my collections home page				
Aggregation_HtmlSubwriter		Share this collection				
Aggregation_HtmlSubwriter		All collections				
Aggregation_HtmlSubwriter		Collapse All				
Aggregation_HtmlSubwriter		Expand All				
Aggregation_HtmlSubwriter		Do not apply changes				
Aggregation_HtmlSubwriter		Save changes to this aggregation home page text				
Aggregation_HtmlSubwriter		Save				
Aggregation_HtmlSubwriter		Edit this home text				
Aggregation_HtmlSubwriter		edit content				
Aggregation_HtmlSubwriter		LIST VIEW				
Aggregation_HtmlSubwriter		BRIEF VIEW				
Aggregation_HtmlSubwriter		TREE VIEW				
Aggregation_HtmlSubwriter		THUMBNAIL VIEW				
Aggregation_HtmlSubwriter		"Welcome to your personalized %1 home page. This page displays any collections you have added, as well as any of your bookshelves you have made public."				
Aggregation_HtmlSubwriter		You do not have any collections added to your home page.				
Aggregation_HtmlSubwriter		"To add a collection, use the %1 button from that collection's home page."				
Aggregation_HtmlSubwriter		make private				
Aggregation_HtmlSubwriter		My Public Bookshelves				
Aggregation_HtmlSubwriter		My Links				
Aggregation_HtmlSubwriter		Go to my %1 home				
Aggregation_HtmlSubwriter		Go to my bookshelf				
Aggregation_HtmlSubwriter		Go to my saved searches				
Aggregation_HtmlSubwriter		My Library				
Aggregation_HtmlSubwriter		My Saved Searches				
Aggregation_HtmlSubwriter		Partners and Contributing Institutions				
Aggregation_HtmlSubwriter	Write_HTML	Home			Tabs on aggregation home page - return to aggregation home page	
Aggregation_HtmlSubwriter	Write_HTML	All Items			Tabs on aggregation home page - shows all items in the aggregation	
Aggregation_HtmlSubwriter	Write_HTML	New Items			Tabs on aggregation home page - Shows items recently added to the aggregation	
Aggregation_HtmlSubwriter	Write_HTML	My Collections			Tabs on aggregation home page - Goes to a list of the collections user has added to their home page	
Aggregation_HtmlSubwriter	Write_HTML	Browse Partners			Tabs on aggregation home page - Browse the list of partners	
Aggregation_HtmlSubwriter	Write_HTML	Browse By			Tabs on aggregation home page - Metadata browse tab	
Aggregation_HtmlSubwriter	Write_HTML	Map Browse			Tabs on aggregation home page - Browse items in the collection on a map interface	
Aggregation_HtmlSubwriter	add_home_html	Partners collaborating and contributing to digital collections and libraries include:			Used for the automatic partner browse from the library home page.  	http://ufdc.ufl.edu/partners   (includes dLOC contributors)
						
Aggregation_Nav_Bar_HTML_Factory	Get_Nav_Bar_HTML	Advanced Search			Tabs on aggregation home page - based on search types available	
Aggregation_Nav_Bar_HTML_Factory	Get_Nav_Bar_HTML	Basic Search			Tabs on aggregation home page - based on search types available	
Aggregation_Nav_Bar_HTML_Factory	Get_Nav_Bar_HTML	Map Search			Tabs on aggregation home page - based on search types available	
Aggregation_Nav_Bar_HTML_Factory	Get_Nav_Bar_HTML	Newspaper Search			Tabs on aggregation home page - based on search types available	
Aggregation_Nav_Bar_HTML_Factory	Get_Nav_Bar_HTML	Text Search			Tabs on aggregation home page - based on search types available	
Aggregation_Nav_Bar_HTML_Factory		Display Text				
						
Advanced_Search_AggregationViewer	Add_Search_Box_HTML	Search for:			Text for within the advanced search box	http://www.dloc.com/advanced
Advanced_Search_AggregationViewer	Add_Search_Box_HTML	in			Text for within the advanced search box	http://www.dloc.com/advanced
Advanced_Search_AggregationViewer		Search				
Advanced_Search_AggregationViewer	Add_Search_Box_HTML	Search Options			Text for within the advanced search box	http://www.dloc.com/advanced
Advanced_Search_AggregationViewer	Add_Search_Box_HTML	Precision			Text for within the advanced search box	http://www.dloc.com/advanced
Advanced_Search_AggregationViewer	Add_Search_Box_HTML	Contains exactly the search terms			Text for within the advanced search box	http://www.dloc.com/advanced
Advanced_Search_AggregationViewer	Add_Search_Box_HTML	Contains any form of the search terms			Text for within the advanced search box	http://www.dloc.com/advanced
Advanced_Search_AggregationViewer	Add_Search_Box_HTML	Contains the search term or terms of similar meaning			Text for within the advanced search box	http://www.dloc.com/advanced
Advanced_Search_AggregationViewer	Add_Search_Box_HTML	and			Drop down selections for advanced search	http://www.dloc.com/advanced
Advanced_Search_AggregationViewer	Add_Search_Box_HTML	or			Drop down selections for advanced search	http://www.dloc.com/advanced
Advanced_Search_AggregationViewer	Add_Search_Box_HTML	and not			Drop down selections for advanced search	http://www.dloc.com/advanced
						
Basic_Search_AggregationViewer	Add_Search_Box_HTML	Search Collection			Used for the basic search usually on the home page	http://www.dloc.com/pcm
Basic_Search_AggregationViewer	Add_Search_Box_HTML	Include non-public items			Used for admins to be able to search private or dark items	
						
dLOC_Search_AggregationViewer	Add_Search_Box_HTML	Search full text			"Used for searching full text in dLOC, excludes newspaper text"	http://www.dloc.com/text
dLOC_Search_AggregationViewer	Add_Search_Box_HTML	Include newspapers?			"Used for searching full text in dLOC, excludes newspaper text"	http://www.dloc.com/text
dLOC_Search_AggregationViewer		Go				
						
Full_Text_Search_AggregationViewer	Add_Search_Box_HTML	Search full text			Standard full text search interface	http://www.dloc.com/pcm/text
Full_Text_Search_AggregationViewer		Go				
						
Item_Count_AggregationViewer		Resource Count in Aggregation				
Item_Count_AggregationViewer	Add_Secondary_HTML	"Below is the number of titles and items for all items within this aggregation, including currently online items as well as items in process."			From the admin view of the number of items within the collection. Accessible from the admin internal header.	
Item_Count_AggregationViewer	Add_Secondary_HTML	Last Milestone			From the admin view of the number of items within the collection. Accessible from the admin internal header.	
Item_Count_AggregationViewer	Add_Secondary_HTML	Title Count			From the admin view of the number of items within the collection. Accessible from the admin internal header.	
Item_Count_AggregationViewer	Add_Secondary_HTML	Item Count			From the admin view of the number of items within the collection. Accessible from the admin internal header.	
Item_Count_AggregationViewer	Add_Secondary_HTML	Page Count			From the admin view of the number of items within the collection. Accessible from the admin internal header.	
Item_Count_AggregationViewer	Add_Secondary_HTML	File Count			From the admin view of the number of items within the collection. Accessible from the admin internal header.	
						
Map_Browse_AggregationViewer	add_single_point	( %1 issues )			"i.e., ( 12 issues ). Used when the content type is newspaper Used in the popup window when you select a point in a map browse"	http://ufdc.ufl.edu/fdnl1/geography/
Map_Browse_AggregationViewer	add_single_point	( %1 volumes )			"i.2., ( 12 volumes ). Used when not newspapers.  Used in the popup window when you select a point in a map browse"	http://ufdc.ufl.edu/fdnl1/geography/
Map_Browse_AggregationViewer	add_single_point	Click here for more information about this title			Used in the popup window when you select a point in a map browse	http://ufdc.ufl.edu/fdnl1/geography/
Map_Browse_AggregationViewer	add_single_point	Click here for more information about these %1 titles			%1 = number of titles.  Used in the popup window when you select a point in a map browse	http://ufdc.ufl.edu/fdnl1/geography/
Map_Browse_AggregationViewer	Add_Search_Box_HTML	Select a point below to view the items from or about that location.			Appears in the search box during geographic browse	http://ufdc.ufl.edu/fdnl1/geography/
Map_Browse_AggregationViewer	Add_Search_Box_HTML	"Press the SHIFT button, and then drag a box on the map to zoom in."			Appears in the search box during geographic browse	http://ufdc.ufl.edu/fdnl1/geography/
Map_Search_AggregationViewer	Add_Search_Box_HTML	 1. Use the <i>Select Area</i> button and click to select opposite corners to draw a search box on the map 			Instructions for map searching when only SELECT AREA is available	
Map_Search_AggregationViewer	Add_Search_Box_HTML	1. Use one of the methods below to define your geographic search:			Instructions for map searching with area and point searching	http://ufdc.ufl.edu/aerials/map
Map_Search_AggregationViewer	Add_Search_Box_HTML	2. Press the <i>Search</i> button to see results			Instructions for map searching when only SELECT AREA is available	
Map_Search_AggregationViewer	Add_Search_Box_HTML	"a. Enter an address and press <i>Find Address</i> to locate, <i>or</i>"			Instructions for map searching with area and point searching	http://ufdc.ufl.edu/aerials/map
Map_Search_AggregationViewer		Actions			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer	Add_Search_Box_HTML	Address			For map searching	http://ufdc.ufl.edu/aerials/map
Map_Search_AggregationViewer		Address: This is the nearest address of the point you selected.			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Applied				
Map_Search_AggregationViewer		Apply				
Map_Search_AggregationViewer		Apply Changes (Make Changes Public)				
Map_Search_AggregationViewer	Add_Search_Box_HTML	"b. Press the <i>Select Area</i> button and click to select two opposite corners, <i>or</i>"			Instructions for map searching with area and point searching	http://ufdc.ufl.edu/aerials/map
Map_Search_AggregationViewer		Block/Lot: Toggle Block/Lot Map Layer			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer	Add_Search_Box_HTML	c. Press the <i>Select Point</i> button and click to select a single point			Instructions for map searching with area and point searching	http://ufdc.ufl.edu/aerials/map
Map_Search_AggregationViewer		Cancel Editing			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Canceling...				
Map_Search_AggregationViewer		Cannot Convert				
Map_Search_AggregationViewer		Cannot Zoom in further				
Map_Search_AggregationViewer		Cannot Zoom out Further				
Map_Search_AggregationViewer		Center on Current Location			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Center On Your Current Position			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Circle				
Map_Search_AggregationViewer		Circle: Place a Circle			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Clear Point Of Interest Set			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer	Add_Search_Box_HTML	Click here to view instructions for this search interface			Reveals instructions for map searching	
Map_Search_AggregationViewer		Clockwise			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Complete Editing			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Completed				
Map_Search_AggregationViewer		Controls			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Controls: Toggle Map Controls			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Convert This To a Map Overlay			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Convert to Overlay			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Converted Item to Overlay				
Map_Search_AggregationViewer		Coordinate Data removed for				
Map_Search_AggregationViewer		Coordinates Copied to Clipboard				
Map_Search_AggregationViewer		Coordinates Viewer Frozen				
Map_Search_AggregationViewer		Coordinates Viewer Unfrozen				
Map_Search_AggregationViewer		Coordinates: This is the selected Latitude and Longitude of the point you selected.			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Could not find location. Either the format you entered is invalid or the location is outside of the map bounds.				
Map_Search_AggregationViewer		Could not find within bounds				
Map_Search_AggregationViewer		Counter-Clockwise			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Custom			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Default: Pan Map To Default			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Delete			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Delete Coordinate Data for Overlay				
Map_Search_AggregationViewer		Delete Geographic Location			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Delete POI				
Map_Search_AggregationViewer		Delete Search Result				
Map_Search_AggregationViewer		Deleted				
Map_Search_AggregationViewer		Description (Optional)				
Map_Search_AggregationViewer		Did not Reset Page				
Map_Search_AggregationViewer		Documentation			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Down: Pan Map Down			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Edit Location			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Edit Location By Dragging Existing Marker				
Map_Search_AggregationViewer		Edit this Overlay				
Map_Search_AggregationViewer		Edit this POI				
Map_Search_AggregationViewer		Editing				
Map_Search_AggregationViewer	Add_Search_Box_HTML	"Enter address ( i.e., 12 Main Street, Gainesville Florida )"			Prompt for finding by address.	http://ufdc.ufl.edu/aerials/map
Map_Search_AggregationViewer		Error Addign other Listeners				
Map_Search_AggregationViewer		ERROR Failed Adding Textual Content				
Map_Search_AggregationViewer		ERROR Failed Adding Titles				
Map_Search_AggregationViewer		Error: Description cannot contain a ~ or |				
Map_Search_AggregationViewer		Error: Overlay image source cannot contain a ~ or |				
Map_Search_AggregationViewer		File			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Find a Location			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer	Add_Search_Box_HTML	Find Address			For map searching	http://ufdc.ufl.edu/aerials/map
Map_Search_AggregationViewer		Find Location			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Finding your location				
Map_Search_AggregationViewer		geocoder failed due to:				
Map_Search_AggregationViewer		Geolocation Service Failed.				
Map_Search_AggregationViewer		Help			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer	Add_Search_Box_HTML	Hide Coordinates				http://ufdc.ufl.edu/aerials/map
Map_Search_AggregationViewer		Hiding				
Map_Search_AggregationViewer		Hiding Overlays				
Map_Search_AggregationViewer		Hiding POIs				
Map_Search_AggregationViewer		Hybrid			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Hybrid: Toggle Hybrid Map Layer			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		In: Zoom Map In			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Item Geographic Location Deleted				
Map_Search_AggregationViewer		Item Location Converted to Listing Overlays				
Map_Search_AggregationViewer		Item Relocation Reset!				
Map_Search_AggregationViewer		Item Saved!				
Map_Search_AggregationViewer	Add_Search_Box_HTML	Latitude				
Map_Search_AggregationViewer		Layers			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Left: Pan Map Left			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Line			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Line: Place a Line			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer	Add_Search_Box_HTML	Locate			For map searching	http://ufdc.ufl.edu/aerials/map
Map_Search_AggregationViewer		Locate: Find A Location On The Map			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer	Add_Search_Box_HTML	Longitude				
Map_Search_AggregationViewer		Manage Location			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Manage Location Details			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Manage Map Coverage			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Manage Overlay			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Manage Overlays			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Manage POI			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Manage Points of Interest			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Manage POIs			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Map Controls			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Marker			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Marker: Place a Point			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer	Add_Search_Box_HTML	more help			For more instructions	http://ufdc.ufl.edu/aerials/map
Map_Search_AggregationViewer		Nearest Address			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Not Cleared				
Map_Search_AggregationViewer		Nothing Happened!				
Map_Search_AggregationViewer		Nothing to Delete				
Map_Search_AggregationViewer		Nothing to Hide				
Map_Search_AggregationViewer		Nothing to Reset				
Map_Search_AggregationViewer		Nothing to Save				
Map_Search_AggregationViewer		Nothing to Search				
Map_Search_AggregationViewer		Nothing to Toggle				
Map_Search_AggregationViewer		Out: Zoom Map Out			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Overall Geographic Data Deleted				
Map_Search_AggregationViewer		Overlay Editing Turned Off				
Map_Search_AggregationViewer		Overlay Editing Turned On				
Map_Search_AggregationViewer		Overlay Saved!				
Map_Search_AggregationViewer		Overlays Reset!				
Map_Search_AggregationViewer		Pan			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Place			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		POI Set Cleared!				
Map_Search_AggregationViewer		POI Set Saved!				
Map_Search_AggregationViewer	Add_Search_Box_HTML	Point 1				
Map_Search_AggregationViewer	Add_Search_Box_HTML	Point 2				
Map_Search_AggregationViewer		Polygon			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Polygon: Place a Polygon			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Rectangle			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		rectangle: Place a rectangle			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Removed				
Map_Search_AggregationViewer		Report a Problem			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Report a Sobek Error				
Map_Search_AggregationViewer		Reset			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Reset All Changes			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Reset All Overlay Changes			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Reset Location			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Reset Location Changes			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Reset Me				
Map_Search_AggregationViewer		Reset Overlays			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Reset POIs			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Reset: Click to Reset Rotation			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Reset: Reset Map To Defaults			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Reset: Reset Map Type			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Reset: Reset Zoom Level			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Reseting Page				
Map_Search_AggregationViewer		Resetting Overlays				
Map_Search_AggregationViewer		Resetting POIs				
Map_Search_AggregationViewer		Returned to Bounds!				
Map_Search_AggregationViewer		Right: Pan Map Right			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Roadmap			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Roadmap: Toggle Road Map Layer			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Rotate			Content menubar innerHTML added from the JS file	
